user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Trey King,"West Hollywood, CA",#LGBTQ+ #Actor #Activist #Agnostic #Surviving #HIV 29yrs #AIDS 25yrs #HeartAttack 11yrs #Medical #Cannabis #Legal #Patient. Likes and RTs ARE NOT endorsements.,2009-03-01 23:23:05,3732,4588,30835,False,2022-01-22 23:59:40,The #Army's '#universal #vaccine' aims to end all #COVID #pandemics https://t.co/0ir0fGmcRi via @CNET,"['Army', 'universal', 'vaccine', 'COVID', 'pandemics']",Twitter Web App,False
Richard Woolley,,"Filmmaker, writer, academic. See key films in a new edition of the British Film Institute's AN UNFLINCHING EYE. Read more: https://t.co/RC2jjoAcBk",2010-09-20 11:33:31,5850,4702,478,False,2022-01-22 23:59:24,"Facesaver to let #Covid fade? ""#Omicron subtype HARDER TO TRACK"" Covid never trackable as PCR test can show pos for any #flu/cold remnant. 2020 monetisation/politicisation conjured #Covid19 out of extant respiratory illnesses. They'll try again (see book)!
https://t.co/60f5vhP9nP","['Covid', 'Omicron']",Twitter for Android,False
Diana Cameron : Flat Coat Mama💙🐻🐕‍🦺🦮🐝🐈,"Jurrasic Coast, United Kingdom","RN r'td ❤️health/social care, BA (hons) MSc age & ageing ~ Covid vaccinator ~ 2 dogs ~ 4 kids (2 gay + 2 non gay) ~Writing stories about older folks : NHS/SSD",2009-02-10 18:17:53,2339,2607,61975,False,2022-01-22 23:58:38,"#NewZealand moving to Red tonight … #Covid 

https://t.co/mt4gMeqMcl","['NewZealand', 'Covid']",Twitter for iPhone,False
Jeffrey Gittler,Allentown,,2009-04-23 01:50:52,53,300,59,False,2022-01-22 23:58:21,I think businesses should follow their own conscious #covid #vaccination https://t.co/WuvMBv69Qd,"['covid', 'vaccination']","Clearview Social, Inc.",False
Tom 🏳️‍🌈,New York State,"#LGBTQ 🏳️‍🌈 #BidenHarris2020 #BLM 
""No matter what people tell you, words and ideas can change the world"" ~ Robin Williams",2015-03-15 20:56:09,9501,8767,283506,False,2022-01-22 23:58:15,"She's done the right things, been vaxxed, masks, boosted. Only goes out alone to Dr appts. Is SCARED to get #COVID from going to the stores, especially for groceries
2",['COVID'],Twitter Web App,False
World Alert,"Karlsruhe, Germany","Alerting the world, with the current happenings, disease, political crisis etc.",2018-03-20 14:08:51,325,34,9,False,2022-01-22 23:56:56,"There are currently 51candidates
Out of which, 10 candidates are in phase 3.
#coronavirus #COVID #Covid-19 #vaccine #vaccines #vaccination
Use #telegram and add bot 'CoronaTrackerNepal_bot' to get details and notifications.

Source: https://t.co/HmUwd0efIQ","['coronavirus', 'COVID', 'Covid', 'vaccine']",corona-tracker-app,False
Tara,"Melbourne, Victoria","Repro & BBV healthcare educator, Population Health, workforce management, RN/RM/ MBA 👩‍🎓Ex-runner, cyclist, Covid wave1 Survivor💪🏼 LongCovid #FBLC",2009-12-04 09:05:04,1244,1686,39936,False,2022-01-22 23:56:29,What will life ‘with Covid’ &amp; multiple #Omicron subsets with immune escape &amp; continued reinfections? It is still ‘mild’ if it reinfects until moderate &amp; severe? Will anyone be left without #Covid as a underlying condition https://t.co/WXFnPD91rQ,['Omicron'],Twitter for iPhone,False
Sue Reeve ♥️🧡💛💚💙💜🇪🇺🏳️‍🌈🕊️🕷️,Glasgow environs.,"Londoner now living in Glasgow suburbs via The Cotswolds & Manchester. Likes news & current affairs, local produce, cricket, cats. Rebellious Catholic. I❤️Mcr",2010-12-28 19:17:39,1490,2358,80310,False,2022-01-22 23:56:24,"@Erwhatdidyousay Thankfully neither of us have succumbed, (and that’s my aim in life, to not contract #covid ).
Made decision before Christmas, to limit what we did because of #omicron though. 
(Although I made the decision to continue with my aqua classes, and just mitigate, mitigate, mitigate.)",['covid'],Twitter for iPad,False
Pamela Sandoval 😷,United States,"Pres. of Ricardo Sandoval fan club, cat herder, grandpa whisperer, politics, journalists fangirl, care provider for low income & homeless seniors.🏥 
🚫trolls",2016-08-02 17:28:47,473,1104,191077,False,2022-01-22 23:55:58,"Notices from HR this month, so far. Be safe everybody!😷
#COVID https://t.co/WC1cmB5Zam",['COVID'],Twitter for Android,False
🕷💙 🇪🇺,Here ,sometimes antisocial but #NeverATory 💙 #WOKE #JohnsonOut #NeverTrustATory #NeverVoteConservative #CorruptConservatives #JohnsonHasFailedTheNation #PATH,2010-10-07 18:58:21,4968,5031,164869,False,2022-01-22 23:55:39,"I am giving my 4th #COVID #vaccine on Tuesday !!! Still wearing ffp3 masks 😷  #Covid_19 is not over #JohnsonLiedPeopleDied 

He doesn't care if we die he's trying to save himself","['COVID', 'vaccine', 'Covid_19']",Twitter for Android,False
