user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Williams Lake News,Williams Lake,"News aggregator for Williams Lake! @Spyrokid77666 runs this page, shares up-to-date info and Google News finds the articles.",2015-06-24 03:42:36,424,38,13,False,2022-01-20 23:59:40,"January 20th, 2022 BC #COVID-19 Pandemic Update - Cariboo Politics Blog https://t.co/iTPxehKDxP",['COVID'],IFTTT,False
Edmondson Scott,"Melbourne, Australia","We find the best educational talent to take our schools into the future.
Contact us and tell us how we can help you with your next hire or role.",2022-01-18 01:35:31,3,62,2,False,2022-01-20 23:59:07,"Really? #schools #COVID #askteachers

Twice weekly student testing flagged in Victoria's back-to-school plan https://t.co/c6WKBiTN8m","['schools', 'COVID', 'askteachers']",Twitter Web App,False
"Sharma Joseph, MD","Boston, MA",Anesthesiolgist | Critical Care Doc | Health Equity Advocate | Coalition Builder 🇨🇦🇩🇲. Shaping a future of justice & opportunity for all. Views are my own.,2017-01-13 11:54:57,696,534,848,False,2022-01-20 23:59:01,"Let’s bust this myth! #Covid19 vaccines don’t reduce fertility. Plus, you’ll be around to raise that kid cause you likely won’t die of #covid!

COVID-19 vaccination does not reduce chances of conception, study suggests | National Institutes of Health (NIH) https://t.co/ImfvVajkbQ",['Covid19'],Twitter for iPhone,False
taype international,"Montreal, Canada",🌎 *All* the news + salty commentary from progressive perspectives. #NEWS #MEDIA #FOLLOW #FBR #FBRPARTY #PRU #POLITICS #TRUTH #RESIST #CRYPTO #TECH #F4F #IFB 💙,2012-01-31 01:21:58,4225,5001,16650,False,2022-01-20 23:58:59,"'Fox and Friends' continues to promote the lie that COVID-19 vaccines 'aren't working'

#COVID #FARRIGHT

https://t.co/7p5bxPpXmq","['COVID', 'FARRIGHT']",taypeinternational,False
"Sina Haeri, MD","Park City, UT","Chief Clinical Strategy Officer @SOCTelemed, MFM doc, founder of Ouma Health, needs 1 pot of coffee BID, married to my best friend, and @UCLA aficionado.",2020-12-20 00:57:02,190,209,325,False,2022-01-20 23:58:58,"Telehealth State-by-State change tracker as many renew or extend coverage in response to #omicron. Go to the table for a high-yield look.
#telemedicine #covid #parity #healthcare #phe #accesstocare  https://t.co/5M7srvw7PX",['omicron'],Twitter for iPhone,False
TheAJRobertsShow,United Kingdom,"Top UK Podcast with former British Soldier - AJ Roberts, cutting through all the BS of modern society. Now on GETTR @mrajroberts",2021-05-11 10:57:57,1901,319,4805,False,2022-01-20 23:58:58,"LOOK 👀 at these stats from the ONS of deaths actually FROM #covid. The lies, deceit, trauma this govt has produced is abhorrent and never forgivable. 
And to think people were brainwashed to running out to get their kids jabbed with this shit!! #fuming #VaccineSideEffects https://t.co/bayEwww2bi",['covid'],Twitter for iPhone,False
Nathan Joyner,"Los Angeles, CA",Global Venture Captial and Private Equity/Business Development Professional,2015-05-18 20:52:29,46,11,760,False,2022-01-20 23:58:52,US State Population Distribution by County  For MI   2022-01-18:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth https://t.co/0zkwtxJPcY,,smcapplication,False
ScienceYouCant?IsPropaganda,"Texas, USA",https://t.co/Z6I6pObOhT,2012-03-30 12:44:19,73,293,17564,False,2022-01-20 23:58:49,"@nancy_paul1 Wife Stands Off With Hospital to Keep Her Husband Alive, and Wins; when unvaccinated #COVID patient transferred from #MercyHospital he’s malnurished, underweight, &amp; dehydrated

 https://t.co/FWfhPPO2yR",['COVID'],Twitter for iPhone,False
Autofile,New Zealand,The trusted voice of the auto industry for more than 30 years. https://t.co/kJLvDqqtlt,2013-10-16 03:23:25,381,503,681,False,2022-01-20 23:58:39,"Investigation upholds complaint but Hamilton business maintains it did nothing wrong.
#advertisingstandardsauthority #hamiltonelectricvehicles #advert #complaint #covid #misleading #carnews
https://t.co/UrVcMNVzXn",,Hootsuite Inc.,False
ScienceYouCant?IsPropaganda,"Texas, USA",https://t.co/Z6I6pObOhT,2012-03-30 12:44:19,73,293,17564,False,2022-01-20 23:58:31,"@KeepFaith4Eva Wife Stands Off With Hospital to Keep Her Husband Alive, and Wins; when unvaccinated #COVID patient transferred from #MercyHospital he’s malnurished, underweight, &amp; dehydrated

 https://t.co/FWfhPPO2yR",['COVID'],Twitter for iPhone,False
Steve Forseth,Williams Lake,Cariboo RD Area 'D' Director and 2021-22 NCLGA 1st Vice President,2008-12-05 01:26:50,946,887,5999,False,2022-01-20 23:58:27,"New Blog Post: January 20th, 2022 BC #COVID-19 Pandemic Update.  View at https://t.co/h5zj1U3bXs #cariboopoli #bcpoli #cdnpoli #COVID19 #COVID19BC #COVID19Canada #WellsBC #Quesnel #WilliamsLake #100MileHouse #CaribooRD","['COVID', 'cariboopoli']",TweetDeck,False
Judy,"Florida, USA",,2016-07-22 15:24:32,7,14,776,False,2022-01-20 23:58:08,"Just tried to order 4 #COVID #test #kits from #postal website.  Received a message that they had already been ordered for my address!! I didn’t order them! So, who did????? #CovidTestKits #FreeCovidTestKits","['COVID', 'test', 'kits', 'postal']",Twitter for iPhone,False
DR.,USA,"Lifelong Buckeye, former hotelier, University Administrator & AP/UPI published newspaperman. pragmatic Conservative Objectivist..Win With People!",2009-07-26 23:38:32,2850,4418,5254,False,2022-01-20 23:57:10,GOP bill would ban race-based preferences in distributing scarce #COVID-19 treatment https://t.co/bQPtTTjIur via @washtimes #USA #Boomer #Millennials #GenX #tiot #tcot,['COVID'],Twitter for iPhone,False
EdmondDantes,,Learning does not make one learned: there are those who have knowledge and those who have understanding. The first requires memory and the second philosophy...,2020-04-26 17:48:23,400,886,1689,False,2022-01-20 23:57:02,"@cfloatthegent ...yet another ""BREAKTHROUGH"" #Covid death

If he'd had received just one more booster...😢",['Covid'],Twitter Web App,False
Nathan Joyner,"Los Angeles, CA",Global Venture Captial and Private Equity/Business Development Professional,2015-05-18 20:52:29,46,11,760,False,2022-01-20 23:56:57,US State Population Distribution by County  For MI   2022-01-18:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth https://t.co/8wGuEex2dX,,smcapplication,False
World Alert,"Karlsruhe, Germany","Alerting the world, with the current happenings, disease, political crisis etc.",2018-03-20 14:08:51,322,34,9,False,2022-01-20 23:56:53,"There are currently 51candidates
Out of which, 10 candidates are in phase 3.
#coronavirus #COVID #Covid-19 #vaccine #vaccines #vaccination
Use #telegram and add bot 'CoronaTrackerNepal_bot' to get details and notifications.

Source: https://t.co/HmUwcZWEkg","['coronavirus', 'COVID', 'Covid', 'vaccine']",corona-tracker-app,False
Crypto Corn Pop,"Sydney, New South Wales","Dad, #USMC #Veteran, #Crypto investor #ShibaArmy #DOGE #XRP, web dev, marketing and strategic thinker.",2021-08-19 22:59:38,86,29,902,False,2022-01-20 23:56:46,"Hey @Dom_Perrottet your ""across the World"" numbers are utterly FALSE regarding triple jabbed vs unjabbed! Thought this would help- #StopTheMadness #StopTheFearCampaign the #CDC just said #covid infected people were more proctected than vaccinated #FactsMatter #DoBetter #nswcovid https://t.co/E1LWv6vVg3",,Twitter for Android,False
Emily Manley,"Jefferson City, MO",#MO Chief Capitol reporter for @FOX2now @KPLR11 @fox4kc @KSNLocalNews @kolr10kozl @KODENews - @UISedu PAR & @WesternILUniv Alum - #STLCards & #STLBlues fan,2012-12-19 08:19:33,2762,2016,21265,True,2022-01-20 23:56:36,".@HealthyLivingMo believes at least 80% of all #COVID cases in Missouri right now are #Omicron. In the past week, there's been an average of 8,840 new cases a day.
https://t.co/X5QekzEfKE","['COVID', 'Omicron']",TweetDeck,False
ACOSS,"Sydney, Australia",The Australian Council of Social Service advocates for action to reduce poverty and inequality and is the peak body of the community services sector.,2009-04-29 23:35:58,28803,3466,4050,False,2022-01-20 23:56:25,"ACOSS calls for suspension of Mutual Obligations, with concerns that over a million people on income support payments are still required to attend work-for-the-dole and group activities, risking #COVID infection 
https://t.co/iXzgJuSXE2
#RaisetheRateforGood",,Twitter Web App,False
AniMegan,Canada,"Avid reader, nurse, casual gamer, ADHD kawaii anime witchy goth girl wannabe. Awkward Aries with a cancer moon. Follow me for weirdness. @therealanimegan",2009-03-12 23:18:47,52,409,4712,False,2022-01-20 23:56:24,"Poor mood off and on this week. Been super upset at the fact that I seem to gravitate to niche things that either are pricey af, don't exist or need to be custom made when I lack the skill to do so. Or executive function to learn to do it when it's all used up by #COVID shit 🙃",,Twitter for Android,False
